minute,X,Y,h_a,situation,shotType,lastAction,xG,result,Goal
80,0.810999985,0.475999985,a,OpenPlay,LeftFoot,None,0.0468629,MissedShots,0
14,0.846999969,0.6,h,OpenPlay,LeftFoot,Pass,0.0719423,MissedShots,0
28,0.764000015,0.454000015,h,OpenPlay,RightFoot,Pass,0.023777699,MissedShots,0
61,0.748000031,0.477999992,h,OpenPlay,RightFoot,Pass,0.0228601,MissedShots,0
3,0.845999985,0.709000015,h,OpenPlay,RightFoot,Dispossessed,0.0389258,Goal,1
10,0.854000015,0.612000008,h,OpenPlay,RightFoot,Pass,0.0714169,SavedShot,0
11,0.708000031,0.654000015,h,OpenPlay,RightFoot,Pass,0.0128342,SavedShot,0
46,0.809000015,0.332000008,h,OpenPlay,RightFoot,TakeOn,0.034202501,BlockedShot,0
84,0.766999969,0.602000008,h,DirectFreekick,RightFoot,Standard,0.078556098,SavedShot,0
91,0.849000015,0.499000015,h,OpenPlay,Head,Cross,0.022513101,MissedShots,0
28,0.759000015,0.572999992,a,SetPiece,LeftFoot,None,0.0159551,MissedShots,0
62,0.796999969,0.695999985,a,OpenPlay,RightFoot,Pass,0.031292401,SavedShot,0
54,0.75,0.720999985,a,OpenPlay,RightFoot,Pass,0.0175141,MissedShots,0
9,0.889000015,0.650999985,h,OpenPlay,RightFoot,BallTouch,0.071210504,BlockedShot,0
12,0.785,0.688000031,h,OpenPlay,RightFoot,None,0.029908,MissedShots,0
66,0.811999969,0.525,h,OpenPlay,LeftFoot,Pass,0.0825698,BlockedShot,0
80,0.761999969,0.639000015,h,OpenPlay,LeftFoot,BallRecovery,0.0244388,ShotOnPost,0
73,0.909000015,0.590999985,h,FromCorner,LeftFoot,Pass,0.074317597,Goal,1
3,0.745999985,0.495999985,a,DirectFreekick,LeftFoot,Standard,0.070408002,SavedShot,0
64,0.931999969,0.317999992,a,OpenPlay,LeftFoot,Aerial,0.0249114,MissedShots,0
25,0.753000031,0.287999992,h,OpenPlay,LeftFoot,Chipped,0.0205338,BlockedShot,0
49,0.926999969,0.532999992,h,OpenPlay,LeftFoot,Pass,0.576591015,Goal,1
80,0.875,0.394000015,h,OpenPlay,Head,Rebound,0.111351997,SavedShot,0
40,0.903000031,0.656999969,a,OpenPlay,LeftFoot,Pass,0.084681801,MissedShots,0
51,0.88,0.392000008,a,OpenPlay,LeftFoot,Throughball,0.350338012,Goal,1
34,0.851999969,0.643000031,a,OpenPlay,RightFoot,Pass,0.073044501,SavedShot,0
84,0.780999985,0.282999992,a,OpenPlay,RightFoot,Pass,0.0198148,SavedShot,0
70,0.931999969,0.292000008,a,OpenPlay,RightFoot,Pass,0.047126099,MissedShots,0
60,0.754000015,0.472000008,h,OpenPlay,RightFoot,Pass,0.0298838,Goal,1
92,0.890999985,0.320999985,h,OpenPlay,RightFoot,Pass,0.077502497,BlockedShot,0
27,0.853000031,0.505,h,OpenPlay,RightFoot,BallTouch,0.0823166,BlockedShot,0
16,0.869000015,0.432999992,a,OpenPlay,RightFoot,Tackle,0.085192703,BlockedShot,0
73,0.860999985,0.61,h,OpenPlay,LeftFoot,HeadPass,0.056568898,Goal,1
14,0.731999969,0.597999992,a,FromCorner,LeftFoot,None,0.0149865,MissedShots,0
18,0.805,0.525,a,OpenPlay,RightFoot,Pass,0.046584699,MissedShots,0
18,0.758000031,0.497000008,h,OpenPlay,RightFoot,Pass,0.0267036,MissedShots,0
70,0.841999969,0.59,h,OpenPlay,LeftFoot,Pass,0.073381796,BlockedShot,0
95,0.899000015,0.475999985,a,OpenPlay,RightFoot,Pass,0.462954998,Goal,1
81,0.726999969,0.437999992,h,FromCorner,RightFoot,None,0.0150194,MissedShots,0
5,0.764000015,0.595999985,h,FromCorner,LeftFoot,None,0.019254699,BlockedShot,0
45,0.801999969,0.301000004,h,OpenPlay,RightFoot,Pass,0.026393799,SavedShot,0
75,0.751999969,0.425,h,OpenPlay,RightFoot,BallTouch,0.032825001,MissedShots,0
10,0.86,0.622999992,a,OpenPlay,LeftFoot,Aerial,0.026352501,SavedShot,0
31,0.77,0.424000015,a,OpenPlay,RightFoot,Chipped,0.0124526,MissedShots,0
39,0.786999969,0.407000008,a,OpenPlay,RightFoot,Pass,0.0335164,SavedShot,0
69,0.759000015,0.382000008,a,OpenPlay,RightFoot,Pass,0.021126499,SavedShot,0
64,0.751999969,0.372999992,h,OpenPlay,LeftFoot,Pass,0.0254624,SavedShot,0
57,0.778000031,0.417999992,h,FromCorner,RightFoot,Pass,0.0306019,BlockedShot,0
46,0.801999969,0.755999985,a,OpenPlay,RightFoot,Pass,0.022172401,SavedShot,0
1,0.82,0.44,h,OpenPlay,RightFoot,Pass,0.060748398,MissedShots,0
18,0.815999985,0.450999985,h,OpenPlay,LeftFoot,Pass,0.070829503,MissedShots,0
67,0.743000031,0.365999985,h,OpenPlay,LeftFoot,Pass,0.0222739,SavedShot,0
42,0.778000031,0.272999992,a,FromCorner,RightFoot,None,0.0151798,BlockedShot,0
89,0.818000031,0.693000031,a,OpenPlay,RightFoot,Pass,0.037401699,MissedShots,0
15,0.724000015,0.604000015,h,OpenPlay,RightFoot,Pass,0.0185898,SavedShot,0
